CustomerID,Recency,Frequency,Monetary,AOV,Tenure,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,ChurnProbability,Predicted6MonthSpend,HistoricalCLV,PredictiveCLV
10001,76,4,630.06,157.515,338,2,2,2,222,Need Attention,0.1248644487303866,426.55539402009634,630.06,1483.1707880401927
10002,4,28,8963.12,320.1114285714286,482,5,5,5,555,Champions,0.0007515881853339888,3918.433275974245,8963.12,16799.986551948492
10003,2,126,76153.93000000001,604.3962698412699,580,5,5,5,555,Champions,0.001353598753228636,23499.952005841275,76153.93000000001,123153.83401168256
10004,42,10,2972.81,297.281,726,3,4,4,344,Loyal Customers,0.02072972462859839,692.0984029184228,2972.81,4357.006805836845
10005,13,44,14563.83,330.99613636363637,622,4,5,5,455,Champions,0.0007515881853339888,4336.5984800640845,14563.83,23237.02696012817
10006,3,5,1035.13,207.026,296,5,3,3,533,Loyal Customers,0.05517331563499303,463.56234488352004,1035.13,1962.2546897670402
10007,162,2,445.29999999999995,222.64999999999998,256,2,2,2,222,Need Attention,0.9657706655625811,0.40870336071717256,445.29999999999995,446.1174067214343
10008,14,15,2226.84,148.45600000000002,607,4,4,4,444,Champions,0.0069464316307910265,877.5143385412862,2226.84,3981.8686770825725
10009,1,2,560.64,280.32,32,5,2,2,522,Potential Loyalists,0.03487069117192468,1683.028465232757,560.64,3926.696930465514
10010,5,9,2874.7,319.4111111111111,188,5,4,4,544,Champions,0.0015961877814980139,2895.8631836673467,2874.7,8666.426367334694
10011,407,1,224.25,224.25,407,1,1,1,111,Hibernating,0.9961781868256446,0.40870336071717256,224.25,225.06740672143434
10012,46,4,734.05,183.5125,278,3,2,2,322,Potential Loyalists,0.13889397395234898,428.2146217295992,734.05,1590.4792434591982
10013,27,1,198.01,198.01,27,3,1,1,311,Promising,0.23116671606362452,652.7968194314979,198.01,1503.6036388629957
10014,15,15,5699.64,379.976,295,4,4,5,445,Champions,0.000784482922176094,3904.1671628980826,5699.64,13507.974325796165
10015,51,4,868.9300000000001,217.23250000000002,275,2,2,3,223,Need Attention,0.09963836603994508,427.1068286410887,868.9300000000001,1723.1436572821776
10016,28,7,2035.22,290.7457142857143,245,3,3,4,334,Loyal Customers,0.005476369352763085,1910.231047227702,2035.22,5855.682094455404
10017,4,2,113.12,56.56,60,5,2,1,521,Hibernating,0.18882100200393595,561.1799516577702,113.12,1235.4799033155405
10018,3,8,859.09,107.38625,448,5,4,3,543,Loyal Customers,0.05487876226665744,497.7785672947227,859.09,1854.6471345894454
10019,198,1,285.64,285.64,198,2,1,1,211,About to Sleep,0.9959403070583531,0.40870336071717256,285.64,286.4574067214343
10020,78,3,769.0600000000001,256.35333333333335,235,2,2,2,222,Need Attention,0.18375554501975624,381.23860470673384,769.0600000000001,1531.5372094134677
10021,321,3,143.79000000000002,47.93000000000001,450,2,2,1,221,Hibernating,0.9816527976306614,0.40870336071717256,143.79000000000002,144.60740672143436
10022,9,19,6400.67,336.8773684210526,491,5,5,5,555,Champions,0.0007515881853339888,2489.3616179073574,6400.67,11379.393235814714
10023,178,5,1178.45,235.69,453,2,3,3,233,Need Attention,0.9620110146422298,0.40870336071717256,1178.45,1179.2674067214343
10024,555,2,345.0,172.5,649,1,2,2,122,At Risk,0.9850269262145953,0.40870336071717256,345.0,345.81740672143434
10025,52,7,1484.98,212.14000000000001,339,2,3,3,233,Need Attention,0.03353692292359939,713.0708159786514,1484.98,2911.1216319573027
10026,512,1,71.43,71.43,512,1,1,1,111,Hibernating,0.986334317804518,0.40870336071717256,71.43,72.24740672143434
10027,468,5,1161.59,232.31799999999998,666,1,3,3,133,Can't Lose Them,0.9843922575660063,0.40870336071717256,1161.59,1162.4074067214342
